The Shawshank ____ | Redemption
Which day comes before monday? | sunday
How many days are there in a year? | 365
What is the boiling point of water? | 100
What is the freezing point of water? | 0
Which gas is used in balloons? | helium
Which gas is used for breathing? | oxygen
Which metal is liquid at room temperature? | mercury
Which planet has rings? | saturn
Which planet is known as morning star? | venus
Which planet is known as evening star? | venus
Which is the brightest star? | sun
Which is the nearest star to earth? | sun
Which is the nearest planet to earth? | venus
Which is the largest desert in india? | thar desert
Which is the longest river in india? | ganges
Which is the highest dam in india? | tehri dam
Which is the largest dam in india? | bhakra nangal
Which is the largest state in india? | rajasthan
Which is the smallest state in india? | goa
Which is the most populous country? | china
Which is the second most populous country? | india
Which is the largest democracy? | india
Which is the oldest civilization? | mesopotamia
Which is the first computer? | eniac
Which is the first programming language? | fortran
Which is the first satellite of india? | aryabhata
Which is the first indian space mission? | chandrayaan 1
Which is the first indian woman in space? | kalpana chawla
Which is the first indian prime minister? | jawaharlal nehru
Which is the first indian president? | rajendra prasad
Which is the first indian woman prime minister? | indira gandhi
Which is the first indian woman president? | pratibha patil
Which is the first indian nobel laureate? | rabindranath tagore
Which is the first olympic gold medalist of india? | abhinav bindra
